Applicants,SalePrice,NumberOfUnits,YearSold,MonthSold,OverallQual,TotalSqFeet,GrLivArea,TotBathrooms,LotArea,ExterQual,FullBath,CentralAir,GarageTypeAttchd,GarageTypeBasment,GarageTypeBuiltIn,GarageTypeDetchd,GarageTypeNoGarage,NeighborhoodBrDale,NeighborhoodBrkSide,NeighborhoodClearCr,NeighborhoodCollgCr,NeighborhoodCrawfor,NeighborhoodEdwards,NeighborhoodGilbert,NeighborhoodIDOTRR,NeighborhoodMeadowV,NeighborhoodMitchel,NeighborhoodNAmes,NeighborhoodNoRidge,NeighborhoodNridgHt,NeighborhoodNWAmes,NeighborhoodOldTown,NeighborhoodSawyer,NeighborhoodSawyerW,NeighborhoodSomerst,NeighborhoodStoneBr,NeighborhoodSWISU,NeighborhoodTimber,NeighborhoodVeenker,NeighborhoodMeanSalePrice
3,208500.00000000125,4,2008,2,7,3586.8864732269435,2785.059658317754,5,3898.25626246711,4,4,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
5,181499.99999999214,5,2007,5,6,3560.3478972343473,2315.2670514982024,3,4149.4097393936545,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,245890.62499999657
3,223500.00000000873,1,2008,9,7,3672.3138010326825,2852.3129418673793,5,4461.602819650799,4,4,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
4,139999.99999999418,3,2011,2,7,3527.5225764723514,2791.377700395099,3,4139.131114879753,3,2,yes,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213681.73722627718
5,250000.00000000428,5,2008,12,8,4012.27645832099,3173.357344369485,5,4928.291794663635,4,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,331835.2844036724
5,142999.99999999357,3,2009,10,5,3308.4310028136047,2433.1814108074536,3,4908.173857601425,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.82978723297
5,306999.99999998946,1,2007,8,8,4029.9783911629197,2770.5208138916682,4,4246.227170082797,4,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.42452830172
5,200000.00000000538,3,2009,11,7,3940.460442995212,3095.426462257685,5,4303.552912536067,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,191923.37209302327
2,129900.00000000112,5,2008,4,7,3684.155641168997,2841.8863990828054,3,3263.279678995902,3,4,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.1245901643
3,117999.9999999997,4,2008,1,5,3239.93266846372,2070.1755796708408,3,3642.4009319034553,3,2,yes,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.79411764728
1,129499.99999999623,3,2008,2,5,3249.2360585477036,2016.1292425209965,3,4452.8349551006095,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.4129353235
6,345000.0000000013,1,2011,7,9,4085.62588076472,3259.578062742945,5,4576.133551959004,5,6,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.50480769144
1,143999.99999999447,5,2008,9,5,3038.0634435478078,1813.099750675785,3,4741.3444761067285,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.4129353235
5,279500.0000000026,2,2007,8,7,3831.733214580496,2576.226237154287,3,4354.089114053754,4,4,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
3,156999.99999999293,5,2008,5,6,3548.838817568153,2304.200495128359,3,4402.999895748915,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
3,131999.99999999898,4,2007,7,7,2911.573756539045,1711.5326730629401,1,3263.279678995902,3,2,yes,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.79411764728
3,149000.00000000064,2,2010,3,6,3192.591143739582,1961.667309516605,3,4460.027483306511,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
3,89999.99999999981,3,2011,10,4,2488.648141390645,2356.3740573392615,3,4379.608661880943,3,4,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.4129353235
4,159000.00000000503,1,2008,6,5,3359.7614605339536,2122.3978395835647,3,4848.713402328687,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.1749999994
4,138999.99999999598,1,2009,5,5,3457.755622399899,2406.845785903251,1,3679.192561785078,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
4,325299.9999999862,2,2011,11,8,4101.63304485902,3293.8067135506503,5,4922.070270627525,4,6,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.50480769144
1,139400.00000000556,5,2007,6,7,2966.87410184443,2114.048177938106,1,3650.078727009066,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.67857142843
3,229999.99999999243,2,2008,9,8,4118.833787036275,2860.0870033390856,3,4178.3117466194235,4,4,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
2,129900.00000000112,5,2007,6,5,3264.6231363387537,2045.577645389799,3,2533.52309512797,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101947.91666666616
2,154000.0000000052,5,2010,5,5,3279.864431949912,2045.577645389799,3,3850.1540045744014,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.4129353235
7,256300.00000000984,4,2009,7,8,3924.790277215755,2682.231164265629,3,4924.146297495333,4,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.50480769144
2,134799.99999999406,2,2010,5,5,3016.7675113531586,1792.625799926485,2,3583.159326489702,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
5,305999.99999999447,4,2010,5,8,4043.2461506452046,2779.623586437319,4,4501.0965467590395,4,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.50480769144
3,207500.00000000207,5,2011,12,5,3882.588896592524,2682.231164265629,3,5194.01824856428,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
0,68499.99999999884,3,2008,5,4,2134.93839166172,944.9927501888249,1,3327.817962562272,3,2,no,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.79411764728
0,40000.00000000103,3,2008,7,4,3158.6031178598973,2381.228744059943,1,3909.868835632954,3,2,no,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.67857142843
2,149350.00000000652,2,2008,6,5,3516.4302533876635,2273.0382082826895,2,3920.031540188874,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.4129353235
5,179899.99999999552,4,2008,1,8,3524.2680604555107,2280.57458780805,3,4426.116445812723,4,4,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
3,165500.0000000076,1,2010,4,5,3889.872833376285,2775.988900396131,3,4335.522931968342,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
7,277499.9999999925,4,2007,8,9,3902.283361414579,2644.068491713283,4,3613.8105856824623,5,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.50480769144
4,309000.00000000524,2,2011,9,8,4117.48250033906,3342.509483633385,5,4808.491425439377,4,6,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.50480769144
5,144999.9999999984,1,2009,6,5,3335.0340168935136,2098.6224629118187,2,4391.973557810671,3,2,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
2,153000.00000000428,5,2009,10,5,3604.338712627125,2357.5667100924065,2,3917.2650925695066,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
4,109000.00000000208,2,2010,1,5,3275.307186073741,2041.1959524086392,3,3771.255047106752,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
1,82000.0000000008,4,2008,6,4,2299.32481426557,2174.257843613697,3,3237.3814900493558,3,4,no,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.71814671837
3,160000.00000000588,3,2011,12,6,3487.3604292793657,2389.4257122190775,3,3946.120689440296,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
7,170000.00000000032,1,2007,7,5,3655.5874015120144,2394.090273009774,3,5263.22229874652,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,243074.45714285594
5,143999.99999999447,3,2007,12,5,2947.408095913575,1764.8988880269849,3,4061.353932094959,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.1749999994
6,130249.99999999821,4,2008,7,5,3083.259689716963,1856.5519992697998,3,4065.6375975748647,3,2,yes,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
5,140999.99999999924,4,2011,5,5,3410.9034643406294,2171.571268510764,3,3776.961375001065,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
