"","applicants","sale_price","num_units","year_sold","month_sold","overall_qual","total_sq_feet","gr_liv_area","tot_bathrooms","lot_area","exter_qual","full_bath","central_air","garage_type_attchd","garage_type_basment","garage_type_builtIn","garage_type_detchd","garage_type_no_garage","NeighborhoodBrDale","neighborhood_brk_side","neighborhood_clear_cr","neighborhood_collg_cr","neighborhood_crawfor","neighborhood_edwards","neighborhood_gilbert","neighborhood_idottrr","neighborhood_meadowv","neighborhood_mitchel","neighborhood_n_ames","neighborhood_n_ridge","neighborhood_n_ridge_hghts","neighborhood_n_w_ames","neighborhood_old_town","neighborhood_sawyer","neighborhood_sawyer_w","neighborhood_somerst","neighborhood_stone_br","neighborhood_swisu","neighborhood_timber","neighborhood_veenker","neighborhood_sale_price"
"1",0.75,208500.000000001,4,2008,2,7,3586.88647322694,2785.05965831775,5,3898.25626246711,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"2",1,181499.999999992,5,2007,5,6,3560.34789723435,2315.2670514982,3,4149.40973939365,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,245890.624999997
"3",3,223500.000000009,1,2008,9,7,3672.31380103268,2852.31294186738,5,4461.6028196508,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"4",1.33333333333333,139999.999999994,3,2011,2,7,3527.52257647235,2791.3777003951,3,4139.13111487975,3,2,"yes",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213681.737226277
"5",1,250000.000000004,5,2008,12,8,4012.27645832099,3173.35734436948,5,4928.29179466364,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,331835.284403672
"6",1.66666666666667,142999.999999994,3,2009,10,5,3308.4310028136,2433.18141080745,3,4908.17385760142,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.829787233
"7",5,306999.999999989,1,2007,8,8,4029.97839116292,2770.52081389167,4,4246.2271700828,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"8",1.66666666666667,200000.000000005,3,2009,11,7,3940.46044299521,3095.42646225769,5,4303.55291253607,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,191923.372093023
"9",0.4,129900.000000001,5,2008,4,7,3684.155641169,2841.88639908281,3,3263.2796789959,3,4,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"10",0.75,118000,4,2008,1,5,3239.93266846372,2070.17557967084,3,3642.40093190346,3,2,"yes",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.794117647
"11",0.333333333333333,129499.999999996,3,2008,2,5,3249.2360585477,2016.129242521,3,4452.83495510061,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.412935323
"12",6,345000.000000001,1,2011,7,9,4085.62588076472,3259.57806274294,5,4576.133551959,5,6,"yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"13",0.2,143999.999999994,5,2008,9,5,3038.06344354781,1813.09975067578,3,4741.34447610673,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.412935323
"14",2.5,279500.000000003,2,2007,8,7,3831.7332145805,2576.22623715429,3,4354.08911405375,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"15",0.6,156999.999999993,5,2008,5,6,3548.83881756815,2304.20049512836,3,4402.99989574892,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"16",0.75,131999.999999999,4,2007,7,7,2911.57375653905,1711.53267306294,1,3263.2796789959,3,2,"yes",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.794117647
"17",1.5,149000.000000001,2,2010,3,6,3192.59114373958,1961.6673095166,3,4460.02748330651,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"18",1,89999.9999999998,3,2011,10,4,2488.64814139064,2356.37405733926,3,4379.60866188094,3,4,"yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.412935323
"19",4,159000.000000005,1,2008,6,5,3359.76146053395,2122.39783958356,3,4848.71340232869,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.174999999
"20",4,138999.999999996,1,2009,5,5,3457.7556223999,2406.84578590325,1,3679.19256178508,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"21",2,325299.999999986,2,2011,11,8,4101.63304485902,3293.80671355065,5,4922.07027062753,4,6,"yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"22",0.2,139400.000000006,5,2007,6,7,2966.87410184443,2114.04817793811,1,3650.07872700907,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.678571428
"23",1.5,229999.999999992,2,2008,9,8,4118.83378703627,2860.08700333909,3,4178.31174661942,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"24",0.4,129900.000000001,5,2007,6,5,3264.62313633875,2045.5776453898,3,2533.52309512797,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101947.916666666
"25",0.4,154000.000000005,5,2010,5,5,3279.86443194991,2045.5776453898,3,3850.1540045744,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.412935323
"26",1.75,256300.00000001,4,2009,7,8,3924.79027721575,2682.23116426563,3,4924.14629749533,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"27",1,134799.999999994,2,2010,5,5,3016.76751135316,1792.62579992648,2,3583.1593264897,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"28",1.25,305999.999999994,4,2010,5,8,4043.2461506452,2779.62358643732,4,4501.09654675904,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"29",0.6,207500.000000002,5,2011,12,5,3882.58889659252,2682.23116426563,3,5194.01824856428,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"30",0,68499.9999999988,3,2008,5,4,2134.93839166172,944.992750188825,1,3327.81796256227,3,2,"no",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.794117647
"31",0,40000.000000001,3,2008,7,4,3158.6031178599,2381.22874405994,1,3909.86883563295,3,2,"no",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.678571428
"32",1,149350.000000007,2,2008,6,5,3516.43025338766,2273.03820828269,2,3920.03154018887,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.412935323
"33",1.25,179899.999999996,4,2008,1,8,3524.26806045551,2280.57458780805,3,4426.11644581272,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"34",3,165500.000000008,1,2010,4,5,3889.87283337629,2775.98890039613,3,4335.52293196834,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"35",1.75,277499.999999992,4,2007,8,9,3902.28336141458,2644.06849171328,4,3613.81058568246,5,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"36",2,309000.000000005,2,2011,9,8,4117.48250033906,3342.50948363339,5,4808.49142543938,4,6,"yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"37",5,144999.999999998,1,2009,6,5,3335.03401689351,2098.62246291182,2,4391.97355781067,3,2,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
