"","applicants","sale_price","num_units","year_sold","month_sold","overall_qual","total_sq_feet","gr_liv_area","tot_bathrooms","lot_area","exter_qual","full_bath","central_air","garage_type_attchd","garage_type_basment","garage_type_builtIn","garage_type_detchd","garage_type_no_garage","NeighborhoodBrDale","neighborhood_brk_side","neighborhood_clear_cr","neighborhood_collg_cr","neighborhood_crawfor","neighborhood_edwards","neighborhood_gilbert","neighborhood_idottrr","neighborhood_meadowv","neighborhood_mitchel","neighborhood_n_ames","neighborhood_n_ridge","neighborhood_n_ridge_hghts","neighborhood_n_w_ames","neighborhood_old_town","neighborhood_sawyer","neighborhood_sawyer_w","neighborhood_somerst","neighborhood_stone_br","neighborhood_swisu","neighborhood_timber","neighborhood_veenker","neighborhood_saleprice"
"1",3,208500.000000001,4,2008,2,7,3586.88647322694,2785.05965831775,5,3898.25626246711,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"2",5,181499.999999992,5,2007,5,6,3560.34789723435,2315.2670514982,3,4149.40973939365,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,245890.624999997
"3",3,223500.000000009,1,2008,9,7,3672.31380103268,2852.31294186738,5,4461.6028196508,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"4",4,139999.999999994,3,2011,2,7,3527.52257647235,2791.3777003951,3,4139.13111487975,3,2,"yes",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213681.737226277
"5",5,250000.000000004,5,2008,12,8,4012.27645832099,3173.35734436948,5,4928.29179466364,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,331835.284403672
"6",5,142999.999999994,3,2009,10,5,3308.4310028136,2433.18141080745,3,4908.17385760142,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.829787233
"7",5,306999.999999989,1,2007,8,8,4029.97839116292,2770.52081389167,4,4246.2271700828,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"8",5,200000.000000005,3,2009,11,7,3940.46044299521,3095.42646225769,5,4303.55291253607,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,191923.372093023
"9",2,129900.000000001,5,2008,4,7,3684.155641169,2841.88639908281,3,3263.2796789959,3,4,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"10",3,118000,4,2008,1,5,3239.93266846372,2070.17557967084,3,3642.40093190346,3,2,"yes",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.794117647
