age,job,marital,housing,loan,phone,month,weekday,CPI,CCI,irate,employment,purchase,edu_years
41,blue-collar,divorced,yes,no,landline,may,mon,93.994,-36.4,4.857,5191,1,4
49,entrepreneur,married,yes,no,landline,may,mon,93.994,-36.4,4.857,5191,1,16
49,technician,married,no,no,landline,may,mon,93.994,-36.4,4.857,5191,1,9
41,technician,married,yes,no,landline,may,mon,93.994,-36.4,4.857,5191,1,13
45,blue-collar,married,yes,no,landline,may,mon,93.994,-36.4,4.857,5191,1,9
42,blue-collar,married,yes,yes,landline,may,mon,93.994,-36.4,4.857,5191,1,9
39,housemaid,married,yes,no,landline,may,mon,93.994,-36.4,4.857,5191,1,9
28,NA,single,yes,yes,landline,may,tue,93.994,-36.4,4.857,5191,1,NA
44,services,married,yes,no,landline,may,tue,93.994,-36.4,4.857,5191,1,12
42,technician,married,no,no,landline,may,tue,93.994,-36.4,4.857,5191,1,13
42,management,married,no,no,landline,may,tue,93.994,-36.4,4.857,5191,1,16
39,services,married,yes,no,landline,may,tue,93.994,-36.4,4.857,5191,1,12
42,blue-collar,married,no,yes,landline,may,tue,93.994,-36.4,4.857,5191,1,12
45,housemaid,married,yes,no,landline,may,tue,93.994,-36.4,4.857,5191,1,13
31,admin.,single,no,no,landline,may,wed,93.994,-36.4,4.856,5191,1,16
28,student,single,yes,yes,landline,may,wed,93.994,-36.4,4.856,5191,1,9
41,entrepreneur,married,yes,no,landline,may,wed,93.994,-36.4,4.856,5191,1,16
37,blue-collar,single,yes,no,landline,may,wed,93.994,-36.4,4.856,5191,1,9
44,blue-collar,married,yes,no,landline,may,wed,93.994,-36.4,4.856,5191,1,4
44,entrepreneur,married,no,no,landline,may,wed,93.994,-36.4,4.856,5191,1,4
54,admin.,divorced,no,no,landline,may,wed,93.994,-36.4,4.856,5191,1,16
42,services,married,yes,no,landline,may,thu,93.994,-36.4,4.855,5191,1,13
46,blue-collar,single,yes,no,landline,may,thu,93.994,-36.4,4.855,5191,1,9
32,blue-collar,married,no,no,landline,may,thu,93.994,-36.4,4.855,5191,1,13
43,technician,single,yes,no,landline,may,thu,93.994,-36.4,4.855,5191,1,16
54,admin.,married,no,no,landline,may,thu,93.994,-36.4,4.855,5191,1,16
50,technician,married,yes,no,landline,may,thu,93.994,-36.4,4.855,5191,1,12
31,services,married,no,no,landline,may,thu,93.994,-36.4,4.855,5191,1,6
51,blue-collar,married,yes,no,landline,may,thu,93.994,-36.4,4.855,5191,1,9
31,entrepreneur,divorced,yes,no,landline,may,thu,93.994,-36.4,4.855,5191,1,12
41,services,divorced,yes,no,landline,may,thu,93.994,-36.4,4.855,5191,1,12
32,NA,NA,no,no,landline,may,fri,93.994,-36.4,4.855,5191,1,16
33,services,married,no,no,landline,may,fri,93.994,-36.4,4.855,5191,1,12
38,management,married,no,no,landline,may,fri,93.994,-36.4,4.855,5191,1,9
60,housemaid,married,no,no,landline,may,fri,93.994,-36.4,4.855,5191,1,12
