age,education_num,marital_status,occupation,cap_gain,hours_per_week,score,value_flag
39,13,Never-married,Group 2,2174,40,58.99,Low
50,13,Married-civ-spouse,Group 5,0,13,55.78,Low
38,9,Divorced,Group 1,0,40,62.75,Low
53,7,Married-civ-spouse,Group 1,0,40,60.1,Low
28,13,Married-civ-spouse,Group 5,0,40,53.31,Low
37,14,Married-civ-spouse,Group 5,0,40,54.07,Low
49,5,Married-spouse-absent,Group 1,0,16,61.72,Low
52,9,Married-civ-spouse,Group 5,0,45,61.41,High
31,14,Never-married,Group 5,14084,50,63.93,High
42,13,Married-civ-spouse,Group 5,5178,40,59.7,High
37,10,Married-civ-spouse,Group 5,0,80,62.03,High
30,13,Married-civ-spouse,Group 5,0,40,55.73,High
23,13,Never-married,Group 2,0,30,59.95,Low
32,12,Never-married,Group 3,0,50,64.78,Low
40,11,Married-civ-spouse,Group 3,0,40,60.25,High
34,4,Married-civ-spouse,Group 3,0,45,60.17,Low
25,9,Never-married,Group 2,0,35,62.8,Low
32,9,Never-married,Group 2,0,40,59.72,Low
38,7,Married-civ-spouse,Group 3,0,50,63.92,Low
43,14,Divorced,Group 5,0,45,64.23,High
40,16,Married-civ-spouse,Group 5,0,60,61.34,High
54,9,Separated,Group 1,0,20,54.84,Low
35,5,Married-civ-spouse,Group 2,0,40,59.97,Low
43,7,Married-civ-spouse,Group 3,0,40,55.19,Low
59,9,Divorced,Group 4,0,40,63.58,Low
56,13,Married-civ-spouse,Group 4,0,40,59.16,High
19,9,Never-married,Group 3,0,40,59.95,Low
54,10,Married-civ-spouse,Group NA,0,60,58.43,High
39,9,Divorced,Group 5,0,80,64.51,Low
49,9,Married-civ-spouse,Group 3,0,40,60.87,Low
23,12,Never-married,Group 4,0,52,63.51,Low
20,10,Never-married,Group 3,0,44,62.55,Low
45,13,Divorced,Group 5,0,40,59.45,Low
30,10,Married-civ-spouse,Group 2,0,40,58,Low
22,10,Married-civ-spouse,Group 1,0,15,60.27,Low
48,7,Never-married,Group 2,0,40,69.38,Low
21,10,Never-married,Group 2,0,40,51.94,Low
19,9,Married-AF-spouse,Group 2,0,25,67.13,Low
31,10,Married-civ-spouse,Group 3,0,38,63.9,High
48,12,Married-civ-spouse,Group 5,0,40,56.11,Low
31,5,Married-civ-spouse,Group 2,0,43,65.02,Low
53,13,Married-civ-spouse,Group 5,0,40,61.8,Low
24,13,Married-civ-spouse,Group 4,0,50,52.86,Low
49,9,Separated,Group 2,0,40,63.36,Low
25,9,Never-married,Group 1,0,35,61.52,Low
57,13,Married-civ-spouse,Group 5,0,40,62.01,High
53,9,Married-civ-spouse,Group 2,0,38,56.1,Low
44,14,Divorced,Group 5,0,40,52.93,Low
41,11,Married-civ-spouse,Group 3,0,40,56.55,Low
29,11,Never-married,Group 5,0,43,54.84,Low
25,10,Married-civ-spouse,Group 5,0,40,55.75,Low
18,9,Never-married,Group 1,0,30,63.25,Low
47,15,Married-civ-spouse,Group 5,0,60,58.64,High
50,13,Divorced,Group 5,0,55,62,High
47,9,Divorced,Group 5,0,60,65.5,Low
43,10,Married-civ-spouse,Group 4,0,40,61.9,High
46,3,Married-civ-spouse,Group 2,0,40,58.88,Low
35,11,Married-civ-spouse,Group 1,0,40,67.22,Low
41,9,Married-civ-spouse,Group 2,0,48,61.42,Low
30,9,Married-civ-spouse,Group 2,5013,40,59.83,Low
30,13,Married-civ-spouse,Group 3,2407,40,68,Low
32,4,Married-spouse-absent,Group NA,0,40,61.14,Low
48,9,Married-civ-spouse,Group 3,0,40,59.87,Low
42,16,Married-civ-spouse,Group 5,0,45,58.76,High
29,10,Divorced,Group 4,0,58,58.62,Low
36,9,Married-civ-spouse,Group 3,0,40,56.42,Low
28,10,Divorced,Group 2,0,40,55.37,Low
53,9,Married-civ-spouse,Group 2,0,40,67.07,High
49,10,Married-civ-spouse,Group 5,0,50,59.78,High
25,10,Never-married,Group NA,0,40,64.76,Low
19,10,Never-married,Group 5,0,32,59.69,Low
31,13,Separated,Group 3,0,40,56.57,Low
29,13,Married-civ-spouse,Group 3,0,70,65.04,High
23,10,Never-married,Group 2,0,40,59.07,Low
79,10,Married-civ-spouse,Group 5,0,20,59.16,Low
27,9,Never-married,Group 1,0,40,60.13,Low
40,12,Married-civ-spouse,Group 2,0,40,59.85,Low
67,6,Married-civ-spouse,Group NA,0,2,60.13,Low
18,7,Never-married,Group 1,0,22,59.72,Low
31,4,Married-civ-spouse,Group 2,0,40,61.19,Low
18,9,Never-married,Group 3,0,30,54.48,Low
52,13,Married-civ-spouse,Group 1,0,40,58.81,Low
46,9,Married-civ-spouse,Group 1,0,40,56.61,Low
59,9,Married-civ-spouse,Group 3,0,48,60.2,Low
44,9,Divorced,Group 3,14344,40,51.69,High
53,9,Divorced,Group 3,0,35,66.4,Low
49,9,Married-civ-spouse,Group 4,0,40,61.77,High
33,14,Married-civ-spouse,Group 5,0,50,67.41,Low
30,5,Never-married,Group 3,0,40,60.29,Low
43,16,Never-married,Group 5,0,50,58.61,High
57,11,Married-civ-spouse,Group 5,0,40,59.9,Low
37,10,Divorced,Group 3,0,40,64.04,Low
28,10,Divorced,Group 2,0,25,58.55,Low
30,9,Married-civ-spouse,Group 3,0,35,55.72,Low
34,13,Married-civ-spouse,Group 4,0,40,61.01,High
29,10,Never-married,Group 1,0,50,61.9,Low
48,16,Married-civ-spouse,Group 5,0,60,55.92,High
37,10,Married-civ-spouse,Group 3,0,48,68.74,High
48,12,Divorced,Group 5,0,40,61.97,Low
32,9,Never-married,Group 1,0,40,60.07,Low
76,14,Married-civ-spouse,Group 5,0,40,64.64,High
44,13,Married-civ-spouse,Group 5,15024,60,59.65,High
