pedestrians,weather,temperature,precipitation,hour,weekday,temp_forecast
3172,clear-day,44,0,14,Wednesday,37.11764706
14,partly-cloudy-night,41,0,21,Sunday,41.17647059
10,partly-cloudy-night,36,0,21,Thursday,40.17647059
521,partly-cloudy-day,76,0.0087,9,Tuesday,75.76470588
126,clear-night,35,0,6,Monday,50.05882353
2628,partly-cloudy-day,73,0,19,Saturday,70.76470588
1602,partly-cloudy-day,48,0,15,Tuesday,44.52941176
23,cloudy,32,0.0037,21,Monday,33.52941176
37,cloudy,57,0,21,Monday,60.70588235
2709,clear-day,41,0,15,Sunday,38
2271,partly-cloudy-day,81,0,13,Thursday,75.52941176
1152,clear-day,44,0,9,Monday,48.17647059
1558,partly-cloudy-day,87,0,13,Sunday,80.88235294
80,partly-cloudy-night,67,0,22,Sunday,70.29411765
1806,cloudy,52,0,14,Sunday,50.70588235
443,clear-day,45,0,8,Friday,50.41176471
2827,cloudy,60,0,14,Saturday,59.11764706
1555,partly-cloudy-day,83,0,13,Wednesday,79.52941176
611,partly-cloudy-day,65,0.0037,9,Tuesday,72.23529412
1774,partly-cloudy-day,83,0,12,Monday,77.05882353
1533,partly-cloudy-day,37,0,13,Monday,35.41176471
1121,partly-cloudy-day,44,0,17,Sunday,40.29411765
1081,partly-cloudy-day,46,0,13,Wednesday,42.94117647
187,cloudy,73,0,7,Friday,77.88235294
200,clear-night,34,0,7,Wednesday,44.47058824
24,partly-cloudy-night,73,0,22,Wednesday,75.94117647
742,clear-day,40,0,17,Monday,37.76470588
1395,clear-day,45,0,14,Wednesday,39.64705882
59,partly-cloudy-night,47,0,6,Friday,52.94117647
42,partly-cloudy-night,63,0,20,Saturday,60.64705882
28,partly-cloudy-night,74,0,21,Friday,74.94117647
483,clear-day,61,0,8,Friday,68.11764706
22,clear-night,33,0,19,Thursday,33
1276,clear-day,51,0,10,Wednesday,49.76470588
2024,partly-cloudy-day,83,0,13,Monday,78.76470588
1474,clear-day,76,0,19,Tuesday,72.23529412
21,partly-cloudy-night,68,0,21,Tuesday,71
1774,partly-cloudy-day,86,0,17,Tuesday,81.23529412
39,partly-cloudy-night,51,0,19,Friday,53.05882353
127,partly-cloudy-night,64,0,20,Friday,67.58823529
1758,cloudy,75,0.008,14,Thursday,71.64705882
161,fog,29,0.0246,16,Tuesday,30.58823529
1330,partly-cloudy-day,84,0,14,Wednesday,78.23529412
13,rain,34,0.0048,21,Monday,34.47058824
536,clear-day,53,0,8,Thursday,55.17647059
1780,partly-cloudy-day,90,0,11,Sunday,90.70588235
78,partly-cloudy-night,40,0,18,Sunday,42.29411765
66,partly-cloudy-night,53,0,21,Saturday,53
593,partly-cloudy-night,78,0,19,Sunday,75.76470588
569,cloudy,54,0,9,Wednesday,52.58823529
1287,clear-day,34,0,14,Tuesday,31
1440,partly-cloudy-day,40,2.00E-04,16,Monday,35.94117647
3515,clear-day,64,0,15,Saturday,54.88235294
72,clear-night,48,0,17,Monday,46.41176471
1643,partly-cloudy-day,83,0,11,Wednesday,82.05882353
140,rain,73,0.047,21,Thursday,71.64705882
1684,cloudy,77,0,10,Friday,77.88235294
687,partly-cloudy-day,74,0,9,Monday,79.64705882
669,partly-cloudy-day,20,0,16,Friday,16.35294118
67,partly-cloudy-night,73,0,21,Sunday,74.76470588
1642,partly-cloudy-day,68,0,13,Monday,66.11764706
312,cloudy,54,0,8,Monday,66.11764706
666,partly-cloudy-day,56,0,8,Monday,60.70588235
6,cloudy,54,0,21,Friday,52.94117647
1190,clear-day,58,0,19,Saturday,58
1695,rain,38,0.0347,14,Saturday,35.88235294
2153,partly-cloudy-day,80,0,13,Wednesday,76.88235294
1598,clear-day,47,0,15,Tuesday,42.41176471
71,cloudy,47,5.00E-04,17,Friday,43.23529412
133,rain,51,0.0028,8,Tuesday,36.94117647
1896,partly-cloudy-day,81,0,16,Tuesday,74.58823529
1917,clear-day,77,0,15,Tuesday,70.11764706
704,cloudy,55,0.0042,18,Friday,55.35294118
181,clear-night,26,0,7,Thursday,31.11764706
1001,partly-cloudy-day,38,0,10,Sunday,38.29411765
285,clear-day,36,0,8,Thursday,44.41176471
1300,partly-cloudy-day,88,0,14,Thursday,83.41176471
31,clear-night,48,0,22,Friday,49.47058824
261,cloudy,36,0,8,Wednesday,37.41176471
2353,partly-cloudy-day,56,0,16,Friday,53.05882353
2388,partly-cloudy-day,80,0,13,Sunday,74.47058824
140,cloudy,67,0,6,Wednesday,67.58823529
1834,partly-cloudy-day,69,0,15,Friday,60.58823529
1955,clear-day,75,0,15,Wednesday,68.88235294
138,partly-cloudy-day,40,0,7,Friday,39.64705882
2057,cloudy,67,0,16,Monday,64.82352941
1324,cloudy,64,0,18,Thursday,61.70588235
2338,clear-day,84,0,17,Sunday,77.47058824
151,clear-day,64,0,6,Saturday,74.05882353
2240,partly-cloudy-day,76,0,16,Monday,71.76470588
523,clear-day,30,0,11,Tuesday,30.05882353
1045,partly-cloudy-day,75,0.0042,18,Sunday,74.47058824
1878,cloudy,73,0,14,Monday,72.41176471
12,partly-cloudy-night,67,0,22,Thursday,69.17647059
31,partly-cloudy-night,33,0,17,Saturday,29.23529412
1601,cloudy,46,0,12,Thursday,46.11764706
262,partly-cloudy-night,57,0,20,Tuesday,55.35294118
1959,rain,47,0.0346,13,Thursday,43.64705882
2359,clear-day,39,0,16,Saturday,36.11764706
70,partly-cloudy-night,37,0,6,Tuesday,52.05882353
3117,partly-cloudy-day,81,0,16,Saturday,76
609,clear-night,65,0,19,Thursday,61.88235294
264,clear-day,68,0,7,Monday,77.05882353
79,cloudy,42,0.0067,21,Thursday,41.47058824
1927,partly-cloudy-day,64,0,17,Thursday,60.88235294
1512,partly-cloudy-day,86,0,18,Friday,82.82352941
397,partly-cloudy-day,49,0,9,Saturday,50.58823529
33,partly-cloudy-night,62,0,21,Saturday,63.94117647
6,clear-night,27,0,21,Monday,26.82352941
2297,partly-cloudy-day,78,0,19,Saturday,74.05882353
258,clear-day,22,0,9,Friday,25.70588235
62,clear-night,58,0,20,Wednesday,60.70588235
1590,rain,75,0.0049,14,Tuesday,75.76470588
60,clear-night,61,0,21,Thursday,61.88235294
3525,clear-day,73,0,15,Saturday,66.58823529
4,partly-cloudy-night,48,0,21,Thursday,46.76470588
1482,clear-day,72,0,13,Wednesday,68.88235294
901,partly-cloudy-day,26,0,10,Saturday,29.23529412
1633,cloudy,44,0,16,Monday,40.05882353
3336,partly-cloudy-day,65,0,15,Sunday,59.05882353
2354,partly-cloudy-day,65,0,15,Friday,57.58823529
16,partly-cloudy-night,45,0,19,Sunday,44.35294118
2819,partly-cloudy-day,76,0,14,Sunday,70.88235294
3158,partly-cloudy-day,74,0,14,Saturday,70.76470588
2522,partly-cloudy-day,73,0,12,Sunday,70.29411765
960,clear-day,28,0,14,Tuesday,23.29411765
9,clear-night,36,0,21,Friday,35.70588235
369,partly-cloudy-day,71,0,8,Sunday,73.47058824
312,partly-cloudy-day,59,0,8,Sunday,61.76470588
882,partly-cloudy-day,69,0,9,Saturday,74.05882353
355,sleet,32,0.0089,13,Sunday,33.23529412
2929,clear-day,57,0,14,Sunday,51.29411765
664,rain,38,0.076,12,Sunday,30
270,snow,32,0.0267,9,Wednesday,34.70588235
2746,clear-day,59,0,15,Wednesday,54.58823529
44,clear-night,74,0,21,Monday,76
2514,partly-cloudy-day,74,0,17,Friday,71.23529412
280,partly-cloudy-day,71,0,7,Monday,72.41176471
106,clear-night,32,0,18,Thursday,31.76470588
1355,cloudy,75,0,16,Thursday,69.70588235
1974,clear-day,80,0,18,Thursday,75.82352941
1396,cloudy,63,0,15,Thursday,61.70588235
704,cloudy,60,0,16,Tuesday,58.17647059
1085,cloudy,69,0,18,Sunday,66.23529412
1886,partly-cloudy-day,73,0,18,Monday,71.05882353
256,rain,33,0.006,14,Tuesday,33.64705882
20,partly-cloudy-night,67,0,21,Tuesday,68.41176471
6,cloudy,45,0,22,Thursday,40.41176471
1,clear-day,19,0,9,Saturday,26.52941176
1843,cloudy,65,0,14,Wednesday,62.29411765
