Distance,Duration,Reason,Age,Others,Mode,Cost
148,2,vacation,3,1,car,640
294,7,vacation,6,7,car,2366
109,0,vacation,5,1,car,25
314,1,vacation,2,1,car,510
159,2,vacation,5,0,car,753
174,0,vacation,5,2,car,115
89,0,vacation,3,0,car,130
136,1,vacation,2,0,car,520
197,2,vacation,2,1,car,150
131,1,vacation,2,5,car,1220
54,0,vacation,2,0,car,75
106,2,vacation,3,0,car,565
408,0,vacation,6,0,car,20
45,1,vacation,4,1,car,194
121,0,vacation,6,1,car,140
71,3,vacation,5,0,car,665
128,1,vacation,2,0,car,337
674,4,vacation,2,2,car,915
515,4,vacation,6,1,car,868
264,0,vacation,1,3,car,395
222,0,vacation,5,0,car,68
48,0,vacation,3,0,car,130
467,2,vacation,4,1,car,535
74,1,vacation,3,0,car,560
156,1,vacation,5,0,car,270
94,2,vacation,2,4,car,480
97,0,vacation,2,0,car,50
485,2,vacation,4,0,car,867
143,1,vacation,6,0,car,605
52,0,vacation,5,0,car,50
107,0,vacation,5,0,car,230
88,0,vacation,3,0,car,90
282,3,vacation,5,1,car,815
135,0,vacation,6,0,car,245
69,0,vacation,4,0,car,75
4013,5,vacation,4,0,plane,3495
173,0,vacation,5,0,car,550
51,0,vacation,1,1,car,40
827,2,vacation,5,0,plane,89
430,1,vacation,2,0,car,200
82,6,vacation,6,0,car,150
107,0,vacation,5,0,car,245
168,0,vacation,6,1,car,290
79,2,vacation,3,0,car,45
165,3,vacation,5,0,car,250
103,6,vacation,5,0,car,4238
87,0,vacation,4,0,car,25
131,2,vacation,5,0,car,710
710,2,vacation,6,2,car,500
95,0,vacation,5,0,car,50
143,0,vacation,4,0,car,100
184,3,vacation,2,0,car,250
121,1,vacation,5,0,car,220
2039,0,vacation,4,7,car,6134
203,2,vacation,4,1,car,680
384,0,vacation,2,0,car,100
573,5,vacation,4,2,car,4830
113,1,vacation,2,0,car,253
217,1,vacation,4,0,car,150
67,0,vacation,5,0,car,200
102,2,vacation,4,0,car,260
314,0,vacation,5,0,car,140
49,0,vacation,2,0,car,10
82,0,vacation,2,0,car,40
