Q,ProvO,Distance,Duration,Reason,Age,Gender,HHI,Others,Mode,Cost
Q2,Alberta,148,2,vacation,35-44,Female,70K to 99K,1,car,640
Q3,Alberta,294,7,vacation,65+,Female,50K to 69K,7,car,2366
Q4,Alberta,314,1,vacation,25-34,Female,Under 50K,1,car,510
Q1,Ontario,159,2,vacation,55-64,Female,100K and Up,0,car,753
Q1,Quebec,136,1,vacation,25-34,Male,100K and Up,0,car,520
Q3,Ontario,197,2,vacation,25-34,Female,100K and Up,1,car,150
Q2,Ontario,131,1,vacation,25-34,Female,Under 50K,5,car,1220
Q1,Quebec,106,2,vacation,35-44,Male,100K and Up,0,car,565
Q4,Alberta,45,1,vacation,45-54,Female,100K and Up,1,car,194
Q4,Ontario,71,3,vacation,55-64,Male,100K and Up,0,car,665
Q1,Saskatchewan,128,1,vacation,25-34,Male,100K and Up,0,car,337
Q1,Saskatchewan,674,4,vacation,25-34,Male,100K and Up,2,car,915
Q1,Ontario,515,4,vacation,65+,Female,50K to 69K,1,car,868
Q1,British Columbia,467,2,vacation,45-54,Male,70K to 99K,1,car,535
Q1,Ontario,74,1,vacation,35-44,Female,70K to 99K,0,car,560
Q1,Saskatchewan,156,1,vacation,55-64,Male,100K and Up,0,car,270
Q3,British Columbia,94,2,vacation,25-34,Male,100K and Up,4,car,480
Q4,Saskatchewan,485,2,vacation,45-54,Male,Under 50K,0,car,867
Q1,Nova Scotia,143,1,vacation,65+,Male,50K to 69K,0,car,605
Q1,Quebec,282,3,vacation,55-64,Male,100K and Up,1,car,815
Q2,Nova Scotia,4013,5,vacation,45-54,Male,70K to 99K,0,plane,3495
Q1,Nova Scotia,827,2,vacation,55-64,Male,Under 50K,0,plane,89
Q4,Alberta,430,1,vacation,25-34,Female,100K and Up,0,car,200
Q3,Ontario,82,6,vacation,65+,Male,70K to 99K,0,car,150
Q1,Quebec,79,2,vacation,35-44,Male,100K and Up,0,car,45
Q3,Alberta,165,3,vacation,55-64,Female,70K to 99K,0,car,250
Q2,Quebec,103,6,vacation,55-64,Female,100K and Up,0,car,4238
Q1,Quebec,131,2,vacation,55-64,Male,70K to 99K,0,car,710
Q2,Saskatchewan,710,2,vacation,65+,Male,100K and Up,2,car,500
Q4,British Columbia,184,3,vacation,25-34,Male,100K and Up,0,car,250
Q4,Nova Scotia,121,1,vacation,55-64,Male,100K and Up,0,car,220
Q1,Saskatchewan,203,2,vacation,45-54,Male,100K and Up,1,car,680
Q4,Quebec,573,5,vacation,45-54,Male,100K and Up,2,car,4830
Q1,Saskatchewan,113,1,vacation,25-34,Male,100K and Up,0,car,253
Q2,Ontario,217,1,vacation,45-54,Male,100K and Up,0,car,150
Q1,Ontario,102,2,vacation,45-54,Male,100K and Up,0,car,260
Q3,Ontario,225,3,vacation,35-44,Female,100K and Up,6,car,335
Q3,Quebec,82,2,vacation,19-24,Female,Under 50K,0,car,60
Q1,Ontario,155,2,vacation,35-44,Female,100K and Up,4,car,575
Q1,Alberta,222,2,vacation,55-64,Male,100K and Up,1,car,390
Q1,Ontario,719,10,vacation,55-64,Male,50K to 69K,2,car,2350
Q3,British Columbia,78,2,vacation,45-54,Female,100K and Up,0,car,514
Q3,Ontario,93,1,vacation,19-24,Female,100K and Up,0,car,650
Q1,Ontario,108,2,vacation,55-64,Female,70K to 99K,1,car,290
Q1,New Brunswick,317,3,vacation,65+,Female,100K and Up,0,car,685
Q1,Ontario,208,2,vacation,55-64,Female,50K to 69K,3,car,90
Q4,Ontario,336,2,vacation,35-44,Female,100K and Up,0,car,900
Q1,British Columbia,78,1,vacation,55-64,Female,100K and Up,0,car,222
Q3,Nova Scotia,2598,21,vacation,45-54,Female,70K to 99K,0,car,1900
Q1,Ontario,533,2,vacation,65+,Female,100K and Up,0,car,56
Q1,Ontario,101,1,vacation,55-64,Female,70K to 99K,1,car,40
Q4,Saskatchewan,203,4,vacation,55-64,Male,100K and Up,0,car,280
Q4,British Columbia,184,4,vacation,65+,Female,100K and Up,1,car,307
Q3,Quebec,54,3,vacation,45-54,Male,100K and Up,0,car,108
Q1,Ontario,415,1,vacation,35-44,Male,50K to 69K,1,car,1060
Q2,New Brunswick,215,1,vacation,45-54,Female,70K to 99K,0,car,210
Q1,Quebec,101,3,vacation,25-34,Female,100K and Up,1,car,200
Q3,Ontario,205,3,vacation,65+,Female,50K to 69K,0,car,360
Q4,Quebec,227,1,vacation,35-44,Female,100K and Up,0,car,3030
Q3,Manitoba,224,1,vacation,45-54,Female,100K and Up,0,car,275
Q3,Quebec,714,4,vacation,25-34,Female,100K and Up,0,car,1055
Q3,Alberta,193,2,vacation,65+,Female,50K to 69K,3,car,570
Q4,New Brunswick,444,7,vacation,65+,Male,100K and Up,0,car,5460
Q2,Alberta,63,1,vacation,25-34,Female,70K to 99K,0,car,200
Q1,Nova Scotia,260,2,vacation,25-34,Male,50K to 69K,0,car,820
Q2,Saskatchewan,2192,7,vacation,55-64,Female,100K and Up,1,plane,4220
Q4,Manitoba,37,1,vacation,35-44,Male,100K and Up,0,car,20
Q3,Manitoba,651,9,vacation,65+,Male,70K to 99K,0,car,300
Q2,Manitoba,16,2,vacation,55-64,Female,100K and Up,0,car,489
Q3,Ontario,121,1,vacation,65+,Female,100K and Up,2,car,881
Q3,Ontario,216,1,vacation,65+,Male,70K to 99K,1,car,170
Q2,Quebec,63,2,vacation,19-24,Male,100K and Up,2,car,395
Q1,Manitoba,104,1,vacation,19-24,Female,50K to 69K,1,car,70
Q3,Quebec,82,4,vacation,45-54,Female,100K and Up,0,car,720
Q4,Ontario,68,2,vacation,35-44,Female,100K and Up,4,car,480
Q4,Ontario,163,2,vacation,55-64,Male,50K to 69K,0,car,110
Q2,New Brunswick,138,2,vacation,35-44,Female,100K and Up,0,car,580
Q3,Ontario,346,14,vacation,55-64,Female,100K and Up,0,car,1000
Q3,Quebec,813,8,vacation,45-54,Female,50K to 69K,0,car,3750
Q1,Ontario,432,2,vacation,65+,Male,Under 50K,0,car,500
Q3,Ontario,88,1,vacation,65+,Female,Under 50K,0,car,60
Q1,Ontario,320,3,vacation,35-44,Female,70K to 99K,0,car,885
Q3,Newfoundland and Labrador,31,3,vacation,55-64,Male,100K and Up,0,car,140
Q1,Saskatchewan,1254,8,vacation,55-64,Female,70K to 99K,0,plane,1225
Q3,British Columbia,249,2,vacation,25-34,Female,100K and Up,1,car,945
Q1,New Brunswick,138,1,vacation,65+,Male,50K to 69K,0,car,389
Q2,Quebec,101,2,vacation,25-34,Male,Under 50K,0,car,150
Q1,Quebec,105,1,vacation,55-64,Female,100K and Up,0,car,934
Q4,Quebec,101,4,vacation,45-54,Female,100K and Up,1,car,2390
Q1,Alberta,135,1,vacation,55-64,Male,100K and Up,0,car,40
Q2,Saskatchewan,201,1,vacation,65+,Male,50K to 69K,1,car,97
Q3,Quebec,118,5,vacation,25-34,Female,50K to 69K,1,car,1080
Q1,British Columbia,274,1,vacation,55-64,Female,Under 50K,0,car,530
Q1,Ontario,179,1,vacation,65+,Male,70K to 99K,3,car,650
Q4,Quebec,53,12,vacation,65+,Female,Under 50K,0,car,232
Q3,Alberta,675,5,vacation,45-54,Female,100K and Up,0,plane,2061
Q3,Quebec,548,4,vacation,65+,Male,Under 50K,1,car,500
Q3,Nova Scotia,200,1,vacation,35-44,Male,100K and Up,0,car,560
Q3,Ontario,139,2,vacation,55-64,Male,100K and Up,0,car,235
Q3,Ontario,151,1,vacation,45-54,Male,100K and Up,8,car,120
Q3,Ontario,64,7,vacation,35-44,Female,100K and Up,8,car,3872
Q4,Ontario,119,1,vacation,45-54,Female,100K and Up,0,car,1304
Q1,Quebec,535,4,vacation,65+,Male,100K and Up,0,car,917
Q3,Saskatchewan,404,2,vacation,25-34,Female,50K to 69K,0,car,455
Q4,Quebec,156,1,vacation,25-34,Female,100K and Up,2,car,315
Q4,New Brunswick,136,1,vacation,55-64,Female,50K to 69K,5,car,357
Q3,British Columbia,291,2,vacation,35-44,Female,100K and Up,0,car,550
Q1,Alberta,416,1,vacation,45-54,Female,100K and Up,2,car,410
Q3,Ontario,310,13,vacation,55-64,Female,100K and Up,0,car,950
Q1,Quebec,83,1,vacation,45-54,Male,100K and Up,0,car,140
